# Version: ICTV_Master_Species_List_2022_MSL38_v3 (website: https://ictv.global/msl)
Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Genome Composition	Last Change	MSL of Last Change	Proposal for Last Change 	Taxon History URL
2727	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Alexandravirus		Alexandravirus SNUABM16	dsDNA	New,	38	2022.004B.Alexandravirus_10nsp.zip	ictv.global=202214457
2728	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Alexandravirus		Alexandravirus SNUABM17	dsDNA	New,	38	2022.004B.Alexandravirus_10nsp.zip	ictv.global=202214465
2729	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Alexandravirus		Alexandravirus SNUABM22	dsDNA	New,	38	2022.004B.Alexandravirus_10nsp.zip	ictv.global=202214456
2730	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Alexandravirus		Alexandravirus SNUABM30	dsDNA	New,	38	2022.004B.Alexandravirus_10nsp.zip	ictv.global=202214462
2731	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Alexandravirus		Alexandravirus SNUABM32	dsDNA	New,	38	2022.004B.Alexandravirus_10nsp.zip	ictv.global=202214460
2732	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Alexandravirus		Alexandravirus SNUABM33	dsDNA	New,	38	2022.004B.Alexandravirus_10nsp.zip	ictv.global=202214463
2733	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Alexandravirus		Alexandravirus SNUABM35	dsDNA	New,	38	2022.004B.Alexandravirus_10nsp.zip	ictv.global=202214458
2734	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Amigovirus		Amigovirus amigo	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200843
2735	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Amigovirus		Amigovirus molivia	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202206757
2736	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Anamdongvirus		Anamdongvirus LBR48	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207910
2737	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Anatolevirus		Anatolevirus anatole	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202205538
2738	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Anatolevirus		Anatolevirus B3	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202205539
2739	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Andrewvirus		Andrewvirus andrew	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207734
2740	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Andromedavirus		Andromedavirus andromeda	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200845
2741	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Andromedavirus		Andromedavirus blastoid	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200846
2742	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Andromedavirus		Andromedavirus curly	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200847
2743	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Andromedavirus		Andromedavirus eoghan	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200848
2744	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Andromedavirus		Andromedavirus finn	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200849
2745	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Andromedavirus		Andromedavirus glittering	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200850
2746	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Andromedavirus		Andromedavirus riggi	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200851
2747	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Andromedavirus		Andromedavirus taylor	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200852
2748	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Anjalivirus		Anjalivirus anjali	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209250
2749	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Anjalivirus		Anjalivirus mendel	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209251
2750	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Anthonyvirus		Anthonyvirus anthony	dsDNA	New,	37	2021.003B.R.Anthonyvirus.zip	ictv.global=202213125
2751	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Aokuangvirus		Aokuangvirus SCBWM1	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207764
2752	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Appavirus		Appavirus appa	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207736
2753	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Apricotvirus		Apricotvirus apricot	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202208701
2754	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Arawnvirus		Arawnvirus arawn	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209291
2755	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Archimedesvirus		Archimedesvirus archimedes	dsDNA	New,	37	2021.004B.R.Archimedesvirus.zip	ictv.global=202213127
2756	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Armstrongvirus		Armstrongvirus armstrong	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207723
2757	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Arvduovirus		Arvduovirus ArV2	dsDNA	New,	38	2022.007B.Arvduovirus_ng.zip	ictv.global=202214491
2758	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Ashduovirus		Ashduovirus A2	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202210191
2759	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Asteriusvirus		Asteriusvirus av121Q	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202206660
2760	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Asteriusvirus		Asteriusvirus PBECO4	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202206659
2761	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Astrithrvirus		Astrithrvirus astrithr	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209373
2762	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Atraxavirus		Atraxavirus atraxa	dsDNA	New,	38	2022.091B.Caudoviricetes_3ng_actinophages.zip	ictv.global=202214965
2763	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attisvirus		Attisvirus attis	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202205541
2764	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attisvirus		Attisvirus bjanes7	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214908
2765	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attisvirus		Attisvirus ebert	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214909
2766	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attisvirus		Attisvirus lamberg	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214906
2767	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attisvirus		Attisvirus matteo	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214903
2768	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attisvirus		Attisvirus pickett	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214904
2769	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attisvirus		Attisvirus sahara	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214907
2770	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attisvirus		Attisvirus vasanti	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214902
2771	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attisvirus		Attisvirus yeet412	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214905
2772	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Attoomivirus		Attoomivirus attoomi	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207725
2773	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Audreyjarvisvirus		Audreyjarvisvirus AM1	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209386
2774	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Audreyjarvisvirus		Audreyjarvisvirus AM4	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209388
2775	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Audreyjarvisvirus		Audreyjarvisvirus av949	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209385
2776	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Audreyjarvisvirus		Audreyjarvisvirus L47	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209389
2777	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Audreyjarvisvirus		Audreyjarvisvirus LW81	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209387
2778	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Audreyjarvisvirus		Audreyjarvisvirus P1048	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209391
2779	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Audreyjarvisvirus		Audreyjarvisvirus WRP3	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209390
2780	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Aurunvirus		Aurunvirus STIM5	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207766
2781	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Austintatiousvirus		Austintatiousvirus austintatious	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207727
2782	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Austintatiousvirus		Austintatiousvirus ididsumtinwong	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207728
2783	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Austintatiousvirus		Austintatiousvirus papayasalad	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207729
2784	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Axeltriavirus		Axeltriavirus AXL3	dsDNA	New,	38	2022.009B.Axeltriavirus_ng.zip	ictv.global=202214495
2785	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Ayohtrevirus		Ayohtrevirus abba	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209548
2786	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus arturo	dsDNA	Renamed,Moved,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202201010
2787	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus backyardigan	dsDNA	Renamed,Moved,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202201012
2788	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus bellusterra	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213168
2789	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus camperdownii	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213171
2790	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus cerulean	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213166
2791	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus cindaradix	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213176
2792	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus cintron	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213169
2793	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus icleared	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213172
2794	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus leoavram	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213167
2795	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus LHTSCC	dsDNA	Renamed,Moved,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202201040
2796	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus miramae	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213174
2797	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus mundrea	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213175
2798	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus noelle	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213173
2799	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus peaches	dsDNA	Renamed,Moved,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202201048
2800	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus stasia	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213165
2801	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus wizard007	dsDNA	New,	37	2021.006B.R.Backyardiganvirus.zip	ictv.global=202213170
2802	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Badaztecvirus		Badaztecvirus badaargau2	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209581
2803	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Badaztecvirus		Badaztecvirus badaztec1	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209580
2804	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Baikalvirus		Baikalvirus PaBG	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207912
2805	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Baileybluvirus		Baileybluvirus baileyblu	dsDNA	New,	38	2022.011B.Baileybluevirus_ng.zip	ictv.global=202214512
2806	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bakolyvirus		Bakolyvirus bakoly	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202211649
2807	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bakolyvirus		Bakolyvirus simangalove	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202211650
2808	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bantamvirus		Bantamvirus bantam	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202206342
2809	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Barbavirus		Barbavirus barba18A	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207108
2810	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Barbavirus		Barbavirus barba19A	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207112
2811	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Barbavirus		Barbavirus barba21A	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207109
2812	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Barbavirus		Barbavirus barba5S	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207110
2813	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Barbavirus		Barbavirus barba8S	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207111
2814	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Barnyardvirus		Barnyardvirus barnyard	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200854
2815	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Barnyardvirus		Barnyardvirus drlupo	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209604
2816	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bcepfunavirus		Bcepfunavirus bcepF1	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200475
2817	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bcepmuvirus		Bcepmuvirus bcepMu	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200408
2818	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bcepmuvirus		Bcepmuvirus E255	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200409
2819	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beceayunavirus		Beceayunavirus BceA1	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209616
2820	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Becedseptimavirus		Becedseptimavirus BCD7	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209620
2821	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus beenie	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214911
2822	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus clark	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214916
2823	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus dobbyssock	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214915
2824	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus dolores	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214913
2825	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus dorito	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214914
2826	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus easley	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214919
2827	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus michaelscott	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214918
2828	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus samman98	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214917
2829	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus sekhmet	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214912
2830	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beenievirus		Beenievirus suerte	dsDNA	New,	38	2022.084B.Caudoviricetes_6ng_33nsp.zip	ictv.global=202214920
2831	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beetrevirus		Beetrevirus B3	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207091
2832	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beetrevirus		Beetrevirus JBD67	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207094
2833	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beetrevirus		Beetrevirus JD18	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207092
2834	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Beetrevirus		Beetrevirus PM105	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202207093
2835	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Behunavirus		Behunavirus BH1	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202210193
2836	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bendigovirus		Bendigovirus GMA6	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202206394
2837	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus archetta	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213208
2838	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus benedict	dsDNA	Renamed,Moved,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202201014
2839	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus bluefalcon	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213207
2840	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus chadwick	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213201
2841	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus cuco	dsDNA	Renamed,Moved,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202201021
2842	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus jovo	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213209
2843	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus littlecherry	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213205
2844	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus naca	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213199
2845	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus scorpia	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213202
2846	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus swirley	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213204
2847	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus theia	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213203
2848	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus tiger	dsDNA	Renamed,Moved,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202201061
2849	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus unionjack	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213200
2850	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Benedictvirus		Benedictvirus zolita	dsDNA	New,	37	2021.008B.R.Benedictvirus.zip	ictv.global=202213206
2851	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bernalvirus		Bernalvirus bernal13	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202200858
2852	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bernalvirus		Bernalvirus mendokysei	dsDNA	New,	37	2021.039B.R.Infilling.zip	ictv.global=202212355
2853	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Betterkatzvirus		Betterkatzvirus betterkatz	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202206801
2854	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bievrevirus		Bievrevirus bv4A7	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209344
2855	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bigmanorsvirus		Bigmanorsvirus bgmanors32	dsDNA	New,	38	2022.046B.Caudoviricetes_2ng.zip	ictv.global=202214667
2856	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bingvirus		Bingvirus bing	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202206724
2857	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bippervirus		Bippervirus bipper	dsDNA	New,	37	2021.011B.R.Bippervirus.zip	ictv.global=202212974
2858	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bjornvirus		Bjornvirus bjorn	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202206806
2859	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Bocovirus		Bocovirus X14	dsDNA	New,	38	2022.013B.Bocovirus_ng.zip	ictv.global=202214523
2860	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Borockvirus		Borockvirus brock	dsDNA	Renamed,Moved,	37	2021.010B.R.Binomial_names.zip	ictv.global=202209662
