#VOG	Function	Taxonomy (LCA)
VOG05071	sp|Q85213|GLYCO_PIRYV Glycoprotein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
VOG05148	sp|P21053|F12_VACCC Protein F12	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05150	sp|P0DOR8|F15_VARV Protein F15	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05151	sp|P07396|F17_VACCW Phosphoprotein F17	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05156	sp|Q08FE1|PAP1_DPV84 Poly(A) polymerase catalytic subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05157	sp|P0DSY7|E8_VAR67 Protein E8	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05158	sp|P0DST9|E11_VAR67 Protein E11	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05159	sp|P16714|I1_VACCW Telomere-binding protein I1	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05160	sp|P0DOR3|I2_VAR67 Protein I2	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05161	sp|P0DOP3|I3_VAR67 Protein I3	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05162	sp|P0DOL9|I6_VAR67 Telomere-binding protein I6	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05163	sp|P12924|I5_VACCW Protein I5	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05164	sp|O72903|I7_FOWPN Core protease I7 homolog	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05165	sp|P0DOP7|G2_VAR67 Late transcription elongation factor G2	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05166	sp|P03295|VP8_VACCW Core protein VP8	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05167	sp|P19746|J1_SHEVK Protein J1 homolog	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05168	sp|P21027|G6_VACCC Uncharacterized protein G6	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05169	sp|O57198|VLTF1_VACCA Late transcription factor 1	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05170	sp|P21031|L3_VACCC Protein L3	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05171	sp|P07618|J5_VACCW Protein J5	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05173	sp|P04300|D2_VACCW Core protein D2	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05174	sp|P68547|RP22_MYXVU DNA-directed RNA polymerase 21 kDa subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05175	sp|O57205|H2_VACCA Late protein H2	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05176	sp|P68438|RAP94_VACCW RNA polymerase-associated transcription-specificity factor RAP94	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05178	sp|Q9JFA9|H7_VACCT Late protein H7	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05179	sp|P04310|RP18_VACCW DNA-directed RNA polymerase 18 kDa subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05181	sp|P0DSQ6|MCES_VARV mRNA-capping enzyme regulatory subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05182	sp|P0DOT5|VLTF3_VAR67 Viral late gene transcription factor 3	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05183	sp|Q775T6|D3_CAMPS 27 kDa core protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05184	sp|P33813|RP19_VAR67 DNA-directed RNA polymerase 19 kDa subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05185	sp|P0DSR1|A6_VAR67 Protein A6	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05186	sp|P20636|ETF2_VACCW Early transcription factor 82 kDa subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05187	sp|P0DSP9|VTF3S_VAR67 Intermediate transcription factor 3 small subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05188	sp|O57224|A12_VACCA 25 kDa core protein A12L	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05189	sp|P0DOQ8|A11_VARV Protein A11	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05190	sp|P0CK27|A145_VAR67 Virion membrane protein A14.5	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05191	sp|P33842|A19_VAR67 Protein A19	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05192	sp|P0DOR5|A17_VAR67 Virion membrane protein A17 precursor	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05193	sp|P0DTP6|A20_VAR67 DNA polymerase processivity factor component A20	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05194	sp|Q77TH8|VTF3L_VACCT Intermediate transcription factor 3 large subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05195	sp|P16710|A16_VACCW Virion membrane protein A16	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05196	sp|Q9DHJ5|A28_YLDV Envelope protein A28 homolog	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05197	sp|Q6RZF4|RP35_RABPU DNA-directed RNA polymerase 35 kDa subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05199	sp|P0DON1|A33_VAR67 Protein A33	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05200	sp|P0DOT9|A30_VAR67 Protein A30	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05201	sp|P11258|A27_VACCW Protein A27	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05204	sp|P21060|A37_VACCC Protein A37	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05211	sp|P21058|A35_VACCC Protein A35	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05374	sp|O36362|GB_ALHV1 Envelope glycoprotein B	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05379	sp|P28934|HELI_EHV1B DNA replication helicase	Duplodnaviria;Heunggongvirae;NA;NA;NA;NA
VOG05380	sp|Q01029|PORTL_SHV21 Portal protein	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05383	sp|P0CK53|CEP2_EBVB9 Cytoplasmic envelopment protein 2	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05384	sp|P28921|TRX2_EHV1B Triplex capsid protein 2	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05386	sp|P28948|GM_EHV1B Envelope glycoprotein M	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05387	sp|P12835|TRM1_HHV1A Tripartite terminase subunit 1	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05388	sp|P09287|CVC2_VZVD Capsid vertex component 2	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05389	sp|P28936|SCAF_EHV1B Capsid scaffolding protein	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05390	sp|P28920|MCP_EHV1B Major capsid protein	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05393	sp|P28953|TRM2_EHV1B Tripartite terminase subunit 2	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05395	sp|P03227|DNBI_EBVB9 Major DNA-binding protein	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05396	sp|P28951|NEC1_EHV1B Nuclear egress protein 1	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05399	sp|P09282|UL32_VZVD Packaging protein UL32	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05408	sp|P84401|PRIM_EHV1V DNA primase	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG05419	REFSEQ capsid protein	Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Genomoviridae
VOG05476	sp|Q9QAZ8|RDRP_SJNNV RNA-directed RNA polymerase	Riboviria;Orthornavirae;NA;NA;NA;NA
VOG05492	sp|Q00113|VG27_ICHVA Uncharacterized protein ORF27	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae
VOG05500	sp|Q00160|VG37_ICHVA Uncharacterized protein ORF37	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae
VOG05505	sp|Q00156|VG64_ICHVA Uncharacterized protein ORF64	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae
VOG05510	sp|P03160|DPOL_WHV1 Protein P	Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;NA;NA
VOG05517	sp|Q5UNW1|YR707_MIMIV Uncharacterized protein R707	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;NA
VOG05552	sp|P09514|MCAPS_TYYVF Minor capsid protein P3-RTD	Riboviria;Orthornavirae;NA;NA;NA;NA
VOG05779	sp|P48311|DPOL_ADE40 DNA polymerase	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05788	sp|P48313|TERM_ADE40 Preterminal protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05789	sp|Q84176|CAPSP_ADEP3 Penton protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05790	sp|P11824|SHUT_ADE41 Shutoff protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05791	sp|P36715|PKG3_ADE12 Packaging protein 3	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05792	sp|Q96624|NP_ADEB2 Pre-histone-like nucleoprotein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05794	sp|P35988|CAP6_ADE12 Pre-protein VI	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05795	sp|O39619|CAPSH_ADECR Hexon protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05796	sp|P11806|DNB2_ADE40 DNA-binding protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05799	sp|P11822|CAP8_ADE41 Pre-hexon-linking protein VIII	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05803	sp|P36711|SPIKE_ADE12 Fiber protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05805	sp|P04010|VP1_POVLY Major capsid protein VP1	Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae
VOG05821	sp|Q01681|POLG_PPVEA Genome polyprotein (Fragment)	Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
VOG05825	sp|P11897|POLG_PVYYO Genome polyprotein (Fragment)	Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
VOG05834	sp|P19416|SF33K_ADE41 Protein 33K	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG05848	sp|Q5UP80|YL007_MIMIV Uncharacterized protein L7	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05849	sp|Q5UP94|YL016_MIMIV Uncharacterized protein L16	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05850	sp|Q5UPJ8|YL123_MIMIV Uncharacterized protein L123	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05851	sp|Q5UP50|YR588_MIMIV Uncharacterized protein R588	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05852	sp|Q5UPD0|YL052_MIMIV Uncharacterized protein L52	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05853	sp|Q5URB0|YR874_MIMIV Uncharacterized protein R874	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05854	sp|Q5UQY0|YR890_MIMIV Uncharacterized protein R890	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05855	sp|Q5UQ91|YL531_MIMIV Uncharacterized protein L531	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG05858	sp|Q5UPU8|YL274_MIMIV Uncharacterized protein L274	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05859	sp|Q5UPJ1|YR118_MIMIV Uncharacterized protein R118	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05861	sp|Q5UPM0|YR150_MIMIV Uncharacterized protein R150	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05863	sp|Q5UNY0|YL732_MIMIV Uncharacterized protein L732	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05864	sp|Q5UNZ6|YL742_MIMIV Putative BTB/POZ domain-containing protein L742	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05865	sp|Q5UPW2|YL285_MIMIV Uncharacterized protein L285	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05866	sp|Q5UNU0|YL676_MIMIV Uncharacterized protein L676	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05867	sp|Q5UNT8|YL678_MIMIV Putative SET domain-containing protein L678	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05868	sp|Q5UNU7|YL682_MIMIV Uncharacterized protein L682	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05869	sp|Q5UNU5|YL684_MIMIV Uncharacterized protein L684	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05870	sp|Q5UNV2|YL688_MIMIV Uncharacterized protein L688	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05871	sp|Q5UNV1|YR691_MIMIV Uncharacterized protein R691	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05872	sp|Q5UNV0|YR692_MIMIV Uncharacterized protein R692	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05873	sp|Q5UNW0|YR695_MIMIV Uncharacterized protein R695	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05874	sp|Q5UNW6|YL702_MIMIV Uncharacterized protein L702	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05875	sp|Q5UNW5|YR703_MIMIV Uncharacterized protein R703	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05876	sp|Q5UNW4|YR704_MIMIV Uncharacterized protein R704	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05877	sp|Q5UQ52|YR708_MIMIV Uncharacterized phosphoglycerate mutase family protein R708	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05878	sp|Q5UQ56|YR710_MIMIV Uncharacterized protein R710	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05879	sp|Q5UQ55|YL711_MIMIV Uncharacterized protein L711	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05880	sp|Q5UQ54|YL712_MIMIV Uncharacterized protein L712	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05881	sp|Q5UQ53|YR713_MIMIV Uncharacterized protein R713	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05882	sp|Q5UNX3|YR714_MIMIV Uncharacterized protein R714	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05883	sp|Q5UNX1|YL716_MIMIV Putative glutamine amidotransferase-like protein L716	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05884	sp|Q5UNX0|YL717_MIMIV Uncharacterized protein L717	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05885	sp|Q5UNW8|YL719_MIMIV Uncharacterized protein L719	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05886	sp|Q5UNX9|YR721_MIMIV Uncharacterized protein R721	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05887	sp|Q5UNX8|YR722_MIMIV Uncharacterized protein R722	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05888	sp|Q5UNX7|YL723_MIMIV Uncharacterized protein L723	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05889	sp|Q5UNX6|YL724_MIMIV Uncharacterized protein L724	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05890	sp|Q5UNX5|YL725_MIMIV Uncharacterized protein L725	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05891	sp|Q5UNY3|YL729_MIMIV Uncharacterized protein L729	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05892	sp|Q5UQ15|YL202_MIMIV Uncharacterized protein L202	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05893	sp|Q5UQ26|YR203_MIMIV Uncharacterized protein R203	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05894	sp|Q5UQ31|YR210_MIMIV Uncharacterized protein R210	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05895	sp|Q5UQ30|YL211_MIMIV Uncharacterized protein L211	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05896	sp|Q5UQ28|YR213_MIMIV Uncharacterized protein R213	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05897	sp|Q5UQB9|YL222_MIMIV Putative SET domain-containing protein L222	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05898	sp|Q5UQG5|YR495_MIMIV Uncharacterized protein R495	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05899	sp|Q5UQF9|YL487_MIMIV Uncharacterized protein L487	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05901	sp|Q5UQB2|YR217_MIMIV Uncharacterized protein R217	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05903	sp|Q5UQA9|YR220_MIMIV Uncharacterized protein R220	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05905	sp|Q5UQC2|YL231_MIMIV Uncharacterized protein L231	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05907	sp|Q5UPX8|YL234_MIMIV Uncharacterized protein L234	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05908	sp|Q5UPX6|YL236_MIMIV Uncharacterized protein L236	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05909	sp|Q5UQ68|YR505_MIMIV Uncharacterized protein R505	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05910	sp|Q5UPU1|YR253_MIMIV Uncharacterized protein R253	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05911	sp|Q5UPT9|YR255_MIMIV Uncharacterized protein R255	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05912	sp|Q5UPT8|YL256_MIMIV Uncharacterized protein L256	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05913	sp|Q5UPT7|YR257_MIMIV Uncharacterized protein R257	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05915	sp|Q5UP21|YL262_MIMIV Uncharacterized protein L262	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05916	sp|Q5UP20|YL263_MIMIV Uncharacterized protein L263	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05917	sp|Q5UPU6|YL265_MIMIV Uncharacterized protein L265	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05918	sp|Q5UQG1|YL492_MIMIV Uncharacterized protein L492	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05919	sp|Q5UQ67|YR506_MIMIV Uncharacterized protein R506	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05920	sp|Q5UQ69|YL504_MIMIV Uncharacterized protein L504	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05921	sp|Q5UQ66|YR503_MIMIV Uncharacterized protein R503	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05922	sp|Q5UP46|YR500_MIMIV Uncharacterized protein R500	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05924	sp|Q5UQF6|YL490_MIMIV Uncharacterized protein L490	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05925	sp|Q5UQF8|YL488_MIMIV Uncharacterized protein L488	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05927	sp|Q5UQF3|YR481_MIMIV Uncharacterized protein R481	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG05930	sp|Q5UQE2|YR474_MIMIV Uncharacterized protein R474	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05931	sp|Q5UQE3|YR473_MIMIV Uncharacterized protein R473	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05932	sp|Q5UQE4|YR472_MIMIV Uncharacterized protein R472	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05933	sp|Q5UQE5|YL471_MIMIV Uncharacterized protein L471	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05934	sp|Q5UQD4|YR467_MIMIV Uncharacterized protein R467	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05935	sp|Q5UQD5|YR466_MIMIV Uncharacterized protein R466	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
